dimension,k,hnswlib_time,fgc_time,count,size
5,100,41419.57712173462,28668.344293321883,7,100000.0
5,10,7496.607542037964,1056.8962097167969,1,1000000.0
5,100,8038.381576538086,2298.6490726470947,1,1000000.0
6,10,44144.10305023193,27906.661919185095,7,100000.0
6,100,49822.84079279219,53635.74590001787,7,100000.0
6,10,8090.384244918823,1929.51774597168,1,1000000.0
6,100,9029.8752784729,3774.025201797485,1,1000000.0
7,10,52170.79448699951,50654.87483569554,7,100000.0
7,100,61328.38099343436,84143.67566789899,7,100000.0
7,10,8742.737293243408,3145.2910900115967,1,1000000.0
7,100,10031.07500076294,5555.7701587677,1,1000000.0
8,10,61749.54669816154,66496.25158309937,7,100000.0
8,100,75862.20012392316,102085.90977532524,7,100000.0
8,10,9642.63081550598,3723.943948745728,1,1000000.0
8,100,11707.40008354187,6138.181209564209,1,1000000.0
9,10,67381.12788200378,91551.70063972472,5,100000.0
9,100,80662.94794082642,125928.11274528503,5,100000.0
9,10,10501.780986785889,5447.868347167969,1,1000000.0
10,10,88651.32486820221,145255.9918165207,4,
10,100,106713.10317516328,188786.15760803228,4,
3,10,614.7892475128174,356.5514087677002,1,100000.0
3,40,604.3424606323242,58.463096618652344,1,100000.0
3,100,584.1374397277832,74.7213363647461,1,100000.0
5,10,635.7517242431641,112.6694679260254,1,100000.0
5,40,610.4867458343506,187.67666816711423,1,100000.0
5,100,607.0506572723389,328.3400535583496,1,100000.0
3,10,852.2751331329346,38.65337371826172,1,150000.0
3,40,862.5545501708984,85.55841445922852,1,150000.0
3,100,866.2400245666504,94.04778480529784,1,150000.0
5,10,932.7476024627686,231.44960403442383,1,150000.0
5,40,901.7782211303712,338.4814262390137,1,150000.0
5,100,930.3748607635498,492.77424812316895,1,150000.0
3,10,1154.7458171844482,55.413007736206055,1,200000.0
3,40,1190.692663192749,79.51021194458008,1,200000.0
3,100,1168.3223247528076,129.10056114196777,1,200000.0
5,10,1265.2473449707031,291.5325164794922,1,200000.0
5,40,1292.0191287994385,413.2547378540039,1,200000.0
5,100,1248.392105102539,606.7371368408203,1,200000.0
3,10,1494.7350025177002,50.83155632019043,1,250000.0
3,40,1465.7385349273682,78.63259315490723,1,250000.0
3,100,1449.380874633789,148.44322204589844,1,250000.0
5,10,1566.9801235198977,395.0643539428711,1,250000.0
5,40,1588.9809131622314,571.8245506286621,1,250000.0
5,100,1617.1777248382568,836.8122577667236,1,250000.0
3,10,1736.4003658294678,24.608850479125977,1,300000.0
3,40,1748.3415603637695,43.34759712219238,1,300000.0
3,100,1728.7709712982178,72.02792167663574,1,300000.0
5,10,1946.8023777008057,483.78753662109375,1,300000.0
5,40,1945.474624633789,681.1213493347168,1,300000.0
5,100,1932.7442646026611,718.5685634613037,1,300000.0
3,10,2039.2911434173584,15.405893325805664,1,350000.0
3,40,1998.4748363494873,107.79428482055664,1,350000.0
3,100,2041.8555736541748,187.99090385437012,1,350000.0
5,10,2195.2290534973145,308.82835388183594,1,350000.0
5,40,2188.927412033081,546.6036796569824,1,350000.0
5,100,2253.655433654785,1345.1545238494873,1,350000.0
3,10,2348.2797145843506,61.38324737548828,1,400000.0
3,40,2373.9895820617676,53.577423095703125,1,400000.0
3,100,2354.0501594543457,183.55822563171387,1,400000.0
5,10,2625.7362365722656,718.4016704559326,1,400000.0
5,40,2626.8699169158936,620.2242374420166,1,400000.0
5,100,2734.3058586120605,1503.8514137268066,1,400000.0
3,10,2617.958068847656,62.58678436279297,1,450000.0
3,40,2619.582414627075,61.850547790527344,1,450000.0
3,100,2694.819688796997,147.60780334472656,1,450000.0
5,10,3033.0843925476074,823.2533931732178,1,450000.0
5,40,3052.5825023651123,675.0147342681885,1,450000.0
5,100,3183.796167373657,1502.8843879699707,1,450000.0
3,10,2966.8188095092773,76.89309120178223,1,500000.0
3,40,2931.3766956329346,48.97761344909668,1,500000.0
3,100,2990.980386734009,189.19968605041504,1,500000.0
5,10,3386.981725692749,967.3125743865968,1,500000.0
5,40,3425.8501529693604,843.5511589050293,1,500000.0
5,100,3554.084300994873,2216.564655303955,1,500000.0
3,10,3532.665491104126,83.23812484741211,1,600000.0
3,40,3556.612014770508,88.90366554260254,1,600000.0
3,100,3575.0274658203125,352.830171585083,1,600000.0
5,10,3988.7032508850098,809.8385334014893,1,600000.0
5,40,4082.786321640014,1847.116231918335,1,600000.0
5,100,4170.1531410217285,1831.3941955566409,1,600000.0
3,10,4141.85357093811,156.26835823059082,1,700000.0
3,40,4073.2128620147705,117.9666519165039,1,700000.0
3,100,4106.260538101196,433.61544609069824,1,700000.0
5,10,4854.049444198608,1008.5046291351318,1,700000.0
5,40,4945.3277587890625,2340.3143882751465,1,700000.0
5,100,5286.316394805908,3115.6229972839355,1,700000.0
3,10,4930.537939071655,103.68680953979492,1,800000.0
3,40,4908.432245254517,300.6322383880615,1,800000.0
3,100,4760.736703872681,277.3163318634033,1,800000.0
5,10,5697.762489318848,2150.9644985198975,1,800000.0
5,40,5694.096803665161,2412.2138023376465,1,800000.0
5,100,5969.03657913208,2686.854362487793,1,800000.0
3,10,5297.525644302368,220.4117774963379,1,900000.0
3,40,5229.269742965698,180.8481216430664,1,900000.0
3,100,5340.075731277466,582.3428630828857,1,900000.0
5,10,7211.919784545898,2425.3885746002197,1,900000.0
5,40,6342.7674770355225,2515.111207962036,1,900000.0
5,100,6867.101430892944,3771.7151641845703,1,900000.0
3,10,5929.785490036011,176.5446662902832,1,1000000.0
3,40,6019.92130279541,392.6396369934082,1,1000000.0
3,100,5976.183652877808,681.3235282897949,1,1000000.0
5,10,7227.454662322998,1749.6740818023682,1,1000000.0
5,40,7279.352188110352,2545.259475708008,1,1000000.0
5,100,7923.142671585083,4814.9659633636475,1,1000000.0
3,10,10123.759746551514,635.4739665985107,1,1500000.0
3,40,9514.33563232422,767.4202919006348,1,1500000.0
3,100,9292.081832885742,1331.3915729522705,1,1500000.0
5,10,11654.895305633543,5593.048095703125,1,1500000.0
5,40,11596.910238265991,6703.181266784668,1,1500000.0
5,100,12870.678186416626,8993.24345588684,1,1500000.0
3,10,12499.455690383911,1216.503381729126,1,2000000.0
3,40,12729.874849319458,1059.859275817871,1,2000000.0
3,100,13121.808290481567,2010.310411453247,1,2000000.0
5,10,17657.70196914673,6714.167356491089,1,2000000.0
5,40,17771.15797996521,12400.635957717896,1,2000000.0
5,100,19633.944749832153,15576.663255691528,1,2000000.0
3,10,17614.479303359985,1863.748550415039,1,2500000.0
3,40,17490.493774414062,1479.888916015625,1,2500000.0
3,100,17500.123977661133,2954.8373222351074,1,2500000.0
5,10,22538.275957107544,11311.39874458313,1,2500000.0
5,40,21977.0770072937,16290.939092636108,1,2500000.0
5,100,24115.23127555847,21515.361547470093,1,2500000.0
3,10,20995.139837265015,2762.638807296753,1,3000000.0
3,40,20932.74712562561,3407.6857566833496,1,3000000.0
3,100,21117.589235305782,2850.780725479126,1,3000000.0
5,10,26076.842308044434,13682.171821594238,1,3000000.0
5,40,26877.875804901123,22958.313941955566,1,3000000.0
5,100,30453.782320022583,31514.196157455444,1,3000000.0
3,10,24200.796842575073,3704.6523094177246,1,3500000.0
3,40,24364.101886749268,4127.517461776733,1,3500000.0
3,100,24637.52841949463,4669.560432434082,1,3500000.0
5,10,32143.77999305725,18095.616102218628,1,3500000.0
3,10,614.7892475128174,356.5514087677002,1,100000.0
3,40,604.3424606323242,58.463096618652344,1,100000.0
3,100,584.1374397277832,74.7213363647461,1,100000.0
5,10,635.7517242431641,112.6694679260254,1,100000.0
5,40,610.4867458343506,187.67666816711423,1,100000.0
5,100,607.0506572723389,328.3400535583496,1,100000.0
3,10,852.2751331329346,38.65337371826172,1,150000.0
3,40,862.5545501708984,85.55841445922852,1,150000.0
3,100,866.2400245666504,94.04778480529784,1,150000.0
5,10,932.7476024627686,231.44960403442383,1,150000.0
5,40,901.7782211303712,338.4814262390137,1,150000.0
5,100,930.3748607635498,492.77424812316895,1,150000.0
3,10,1154.7458171844482,55.413007736206055,1,200000.0
3,40,1190.692663192749,79.51021194458008,1,200000.0
3,100,1168.3223247528076,129.10056114196777,1,200000.0
5,10,1265.2473449707031,291.5325164794922,1,200000.0
5,40,1292.0191287994385,413.2547378540039,1,200000.0
5,100,1248.392105102539,606.7371368408203,1,200000.0
3,10,1494.7350025177002,50.83155632019043,1,250000.0
3,40,1465.7385349273682,78.63259315490723,1,250000.0
3,100,1449.380874633789,148.44322204589844,1,250000.0
5,10,1566.9801235198977,395.0643539428711,1,250000.0
5,40,1588.9809131622314,571.8245506286621,1,250000.0
5,100,1617.1777248382568,836.8122577667236,1,250000.0
3,10,1736.4003658294678,24.608850479125977,1,300000.0
3,40,1748.3415603637695,43.34759712219238,1,300000.0
3,100,1728.7709712982178,72.02792167663574,1,300000.0
5,10,1946.8023777008057,483.78753662109375,1,300000.0
5,40,1945.474624633789,681.1213493347168,1,300000.0
5,100,1932.7442646026611,718.5685634613037,1,300000.0
3,10,2039.2911434173584,15.405893325805664,1,350000.0
3,40,1998.4748363494873,107.79428482055664,1,350000.0
3,100,2041.8555736541748,187.99090385437012,1,350000.0
5,10,2195.2290534973145,308.82835388183594,1,350000.0
5,40,2188.927412033081,546.6036796569824,1,350000.0
5,100,2253.655433654785,1345.1545238494873,1,350000.0
3,10,2348.2797145843506,61.38324737548828,1,400000.0
3,40,2373.9895820617676,53.577423095703125,1,400000.0
3,100,2354.0501594543457,183.55822563171387,1,400000.0
5,10,2625.7362365722656,718.4016704559326,1,400000.0
5,40,2626.8699169158936,620.2242374420166,1,400000.0
5,100,2734.3058586120605,1503.8514137268066,1,400000.0
3,10,2617.958068847656,62.58678436279297,1,450000.0
3,40,2619.582414627075,61.850547790527344,1,450000.0
3,100,2694.819688796997,147.60780334472656,1,450000.0
5,10,3033.0843925476074,823.2533931732178,1,450000.0
5,40,3052.5825023651123,675.0147342681885,1,450000.0
5,100,3183.796167373657,1502.8843879699707,1,450000.0
3,10,2966.8188095092773,76.89309120178223,1,500000.0
3,40,2931.3766956329346,48.97761344909668,1,500000.0
3,100,2990.980386734009,189.19968605041504,1,500000.0
5,10,3386.981725692749,967.3125743865968,1,500000.0
5,40,3425.8501529693604,843.5511589050293,1,500000.0
5,100,3554.084300994873,2216.564655303955,1,500000.0
3,10,3532.665491104126,83.23812484741211,1,600000.0
3,40,3556.612014770508,88.90366554260254,1,600000.0
3,100,3575.0274658203125,352.830171585083,1,600000.0
5,10,3988.7032508850098,809.8385334014893,1,600000.0
5,40,4082.786321640014,1847.116231918335,1,600000.0
5,100,4170.1531410217285,1831.3941955566409,1,600000.0
3,10,4141.85357093811,156.26835823059082,1,700000.0
3,40,4073.2128620147705,117.9666519165039,1,700000.0
3,100,4106.260538101196,433.61544609069824,1,700000.0
5,10,4854.049444198608,1008.5046291351318,1,700000.0
5,40,4945.3277587890625,2340.3143882751465,1,700000.0
5,100,5286.316394805908,3115.6229972839355,1,700000.0
3,10,4930.537939071655,103.68680953979492,1,800000.0
3,40,4908.432245254517,300.6322383880615,1,800000.0
3,100,4760.736703872681,277.3163318634033,1,800000.0
5,10,5697.762489318848,2150.9644985198975,1,800000.0
5,40,5694.096803665161,2412.2138023376465,1,800000.0
5,100,5969.03657913208,2686.854362487793,1,800000.0
3,10,5297.525644302368,220.4117774963379,1,900000.0
3,40,5229.269742965698,180.8481216430664,1,900000.0
3,100,5340.075731277466,582.3428630828857,1,900000.0
5,10,7211.919784545898,2425.3885746002197,1,900000.0
5,40,6342.7674770355225,2515.111207962036,1,900000.0
5,100,6867.101430892944,3771.7151641845703,1,900000.0
3,10,5929.785490036011,176.5446662902832,1,1000000.0
3,40,6019.92130279541,392.6396369934082,1,1000000.0
3,100,5976.183652877808,681.3235282897949,1,1000000.0
5,10,7227.454662322998,1749.6740818023682,1,1000000.0
5,40,7279.352188110352,2545.259475708008,1,1000000.0
5,100,7923.142671585083,4814.9659633636475,1,1000000.0
3,10,10123.759746551514,635.4739665985107,1,1500000.0
3,40,9514.33563232422,767.4202919006348,1,1500000.0
3,100,9292.081832885742,1331.3915729522705,1,1500000.0
5,10,11654.895305633543,5593.048095703125,1,1500000.0
5,40,11596.910238265991,6703.181266784668,1,1500000.0
5,100,12870.678186416626,8993.24345588684,1,1500000.0
3,10,12499.455690383911,1216.503381729126,1,2000000.0
3,40,12729.874849319458,1059.859275817871,1,2000000.0
3,100,13121.808290481567,2010.310411453247,1,2000000.0
5,10,17657.70196914673,6714.167356491089,1,2000000.0
5,40,17771.15797996521,12400.635957717896,1,2000000.0
5,100,19633.944749832153,15576.663255691528,1,2000000.0
3,10,17614.479303359985,1863.748550415039,1,2500000.0
3,40,17490.493774414062,1479.888916015625,1,2500000.0
3,100,17500.123977661133,2954.8373222351074,1,2500000.0
5,10,22538.275957107544,11311.39874458313,1,2500000.0
5,40,21977.0770072937,16290.939092636108,1,2500000.0
5,100,24115.23127555847,21515.361547470093,1,2500000.0
3,10,20995.139837265015,2762.638807296753,1,3000000.0
3,40,20932.74712562561,3407.6857566833496,1,3000000.0
3,100,21117.589235305782,2850.780725479126,1,3000000.0
5,10,26076.842308044434,13682.171821594238,1,3000000.0
5,40,26877.875804901123,22958.313941955566,1,3000000.0
5,100,30453.782320022583,31514.196157455444,1,3000000.0
3,10,24200.796842575073,3704.6523094177246,1,3500000.0
3,40,24364.101886749268,4127.517461776733,1,3500000.0
3,100,24637.52841949463,4669.560432434082,1,3500000.0
5,10,32143.77999305725,18095.616102218628,1,3500000.0
